title,content,displaytitle,category,resourcetype,featureimage,,resourcepopupurl,filetitle,filetype,downloadablefile,externallink,audiopreview,previewonly,maindownload,note
接觸不同文化,,接觸不同文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/接觸不同文化.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/接觸不同文化.jpg,接觸不同文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/接觸不同文化.jpg,,,,,
文化融合,,文化融合,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/文化融合.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/文化融合.jpg,文化融合,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/文化融合.jpg,,,,,
旅遊計畫,,旅遊計畫,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫.jpg,旅遊計畫,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫.jpg,,,,,
旅遊計畫2,,旅遊計畫2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫2.jpg,旅遊計畫2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫2.jpg,,,,,
旅遊計畫3,,旅遊計畫3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫3.jpg,旅遊計畫3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/旅遊計畫3.jpg,,,,,
日式客廳,,日式客廳,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式客廳.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式客廳.jpg,日式客廳,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式客廳.jpg,,,,,
日式拉麵店,,日式拉麵店,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式拉麵店.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式拉麵店.jpg,日式拉麵店,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式拉麵店.jpg,,,,,
日式飲食,,日式飲食,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式飲食.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式飲食.jpg,日式飲食,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日式飲食.jpg,,,,,
日文雜誌,,日文雜誌,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日文雜誌.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日文雜誌.jpg,日文雜誌,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日文雜誌.jpg,,,,,
日本和服,,日本和服,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服.jpg,日本和服,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服.jpg,,,,,
日本和服2,,日本和服2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服2.jpg,日本和服2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服2.jpg,,,,,
日本和服3,,日本和服3,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服3.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服3.jpg,日本和服3,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本和服3.jpg,,,,,
日本壽司,,日本壽司,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本壽司.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本壽司.jpg,日本壽司,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本壽司.jpg,,,,,
日本文字,,日本文字,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本文字.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本文字.jpg,日本文字,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本文字.jpg,,,,,
日本相撲,,日本相撲,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本相撲.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本相撲.jpg,日本相撲,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/日本相撲.jpg,,,,,
母親節送花,,母親節送花,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/母親節送花.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/母親節送花.jpg,母親節送花,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/母親節送花.jpg,,,,,
泰國潑水節,,泰國潑水節,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/泰國潑水節.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/泰國潑水節.jpg,泰國潑水節,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/泰國潑水節.jpg,,,,,
浴佛,,浴佛,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/浴佛.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/浴佛.jpg,浴佛,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/浴佛.jpg,,,,,
潑水節,,潑水節,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/潑水節.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/潑水節.jpg,潑水節,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/潑水節.jpg,,,,,
父親節心意卡,,父親節心意卡,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/父親節心意卡.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/父親節心意卡.jpg,父親節心意卡,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/父親節心意卡.jpg,,,,,
牛仔褲,,牛仔褲,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/牛仔褲.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/牛仔褲.jpg,牛仔褲,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/牛仔褲.jpg,,,,,
狂歡節,,狂歡節,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/狂歡節.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/狂歡節.jpg,狂歡節,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/狂歡節.jpg,,,,,
瑜伽,,瑜伽,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/瑜伽.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/瑜伽.jpg,瑜伽,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/瑜伽.jpg,,,,,
穆斯林文化,,穆斯林文化,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/穆斯林文化.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/穆斯林文化.jpg,穆斯林文化,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/穆斯林文化.jpg,,,,,
美國牛仔服飾,,美國牛仔服飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美國牛仔服飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美國牛仔服飾.jpg,美國牛仔服飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美國牛仔服飾.jpg,,,,,
美式漢堡包,,美式漢堡包,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美式漢堡包.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美式漢堡包.jpg,美式漢堡包,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/美式漢堡包.jpg,,,,,
聖誕卡,,聖誕卡,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕卡.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕卡.jpg,聖誕卡,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕卡.jpg,,,,,
聖誕樹,,聖誕樹,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕樹.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕樹.jpg,聖誕樹,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕樹.jpg,,,,,
聖誕節-吃火雞,,聖誕節-吃火雞,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節-吃火雞.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節-吃火雞.jpg,聖誕節-吃火雞,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節-吃火雞.jpg,,,,,
聖誕節唱聖詩,,聖誕節唱聖詩,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩.jpg,聖誕節唱聖詩,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩.jpg,,,,,
聖誕節唱聖詩2,,聖誕節唱聖詩2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩2.jpg,聖誕節唱聖詩2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/聖誕節唱聖詩2.jpg,,,,,
芭蕾舞,,芭蕾舞,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞.jpg,芭蕾舞,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞.jpg,,,,,
芭蕾舞2,,芭蕾舞2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞2.jpg,芭蕾舞2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/芭蕾舞2.jpg,,,,,
草裙舞,,草裙舞,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/草裙舞.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/草裙舞.jpg,草裙舞,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/草裙舞.jpg,,,,,
荷蘭傳統服飾,,荷蘭傳統服飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾.jpg,荷蘭傳統服飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾.jpg,,,,,
荷蘭傳統服飾2,,荷蘭傳統服飾2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾2.jpg,荷蘭傳統服飾2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/荷蘭傳統服飾2.jpg,,,,,
萬聖節派對,,萬聖節派對,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節派對.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節派對.jpg,萬聖節派對,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節派對.jpg,,,,,
萬聖節裝扮,,萬聖節裝扮,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝扮.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝扮.jpg,萬聖節裝扮,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝扮.jpg,,,,,
萬聖節裝飾,,萬聖節裝飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝飾.jpg,萬聖節裝飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/萬聖節裝飾.jpg,,,,,
蘇格蘭傳統服飾,,蘇格蘭傳統服飾,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾.jpg,蘇格蘭傳統服飾,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾.jpg,,,,,
蘇格蘭傳統服飾2,,蘇格蘭傳統服飾2,插圖庫|了解世界與認識資訊年代|世界文化,image-file,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾2.jpg,,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾2.jpg,蘇格蘭傳統服飾2,image,https://active-gs-pri.pearson.com.hk/wp-content/uploads/蘇格蘭傳統服飾2.jpg,,,,,
